StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-09-03T15:30:00Z,APXMIDP,03-09-2024,34,83.67,2702.9
2024-09-03T15:00:00Z,APXMIDP,03-09-2024,33,90.53,2800.4
2024-09-03T14:30:00Z,APXMIDP,03-09-2024,32,85.56,2617.4
2024-09-03T14:00:00Z,APXMIDP,03-09-2024,31,85.92,2352.4
2024-09-03T13:30:00Z,APXMIDP,03-09-2024,30,80.79,3036.85
2024-09-03T13:00:00Z,APXMIDP,03-09-2024,29,78.64,3141.55
2024-09-03T12:30:00Z,APXMIDP,03-09-2024,28,79.94,2559.6
2024-09-03T12:00:00Z,APXMIDP,03-09-2024,27,81.31,2265.1
2024-09-03T11:30:00Z,APXMIDP,03-09-2024,26,83.07,2475.2
2024-09-03T11:00:00Z,APXMIDP,03-09-2024,25,81.7,2727.5
2024-09-03T10:30:00Z,APXMIDP,03-09-2024,24,77.75,2443.75
2024-09-03T10:00:00Z,APXMIDP,03-09-2024,23,82.26,2349.95
2024-09-03T09:30:00Z,APXMIDP,03-09-2024,22,79.44,2802.95
2024-09-03T09:00:00Z,APXMIDP,03-09-2024,21,87.74,2970.85
2024-09-03T08:30:00Z,APXMIDP,03-09-2024,20,89.13,2325.35
2024-09-03T08:00:00Z,APXMIDP,03-09-2024,19,79.77,2794.95
2024-09-03T07:30:00Z,APXMIDP,03-09-2024,18,99.23,3625.45
2024-09-03T07:00:00Z,APXMIDP,03-09-2024,17,97.84,2940
2024-09-03T06:30:00Z,APXMIDP,03-09-2024,16,105.44,3534.4
2024-09-03T06:00:00Z,APXMIDP,03-09-2024,15,89.38,3214.5
2024-09-03T05:30:00Z,APXMIDP,03-09-2024,14,97.05,1721.9
2024-09-03T05:00:00Z,APXMIDP,03-09-2024,13,86.31,1634.65
2024-09-03T04:30:00Z,APXMIDP,03-09-2024,12,78.43,1210.9
2024-09-03T04:00:00Z,APXMIDP,03-09-2024,11,78.52,1455.4
2024-09-03T03:30:00Z,APXMIDP,03-09-2024,10,81.42,1539.7
2024-09-03T03:00:00Z,APXMIDP,03-09-2024,9,77.45,1216.85
2024-09-03T02:30:00Z,APXMIDP,03-09-2024,8,81.32,1358.95
2024-09-03T02:00:00Z,APXMIDP,03-09-2024,7,82.74,1268.55
2024-09-03T01:30:00Z,APXMIDP,03-09-2024,6,78.18,1726.75
2024-09-03T01:00:00Z,APXMIDP,03-09-2024,5,79.08,1400
2024-09-03T00:30:00Z,APXMIDP,03-09-2024,4,82.32,1497
2024-09-03T00:00:00Z,APXMIDP,03-09-2024,3,83.78,1483.95
2024-09-02T23:30:00Z,APXMIDP,03-09-2024,2,84.78,1203.3
